人工智能关键词,企业名称,招聘岗位,工作城市,工作区域,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘人数,招聘类别,初级分类,来源平台,公司地点,工作地点,招聘发布日期,招聘结束日期,招聘发布年份,招聘结束年份,来源
后端开发,峰云数据,Java 开发工程师,上海,上海徐汇区,10,18,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 MySQL、单体架构、MyBatis、Redis、Java、Tomcat。熟悉 Spring MVC 者优先。典型场景为高并发交易与业务中台。 需负责重点客户项目交付。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,2,社会招聘,后端开发,BOSS直聘,上海,上海漕河泾,2020-05-08,2020-06-14,2020,2020,BOSS直聘
后端开发,边缘智能,中级Java 开发工程师,重庆,重庆渝北区,12,21,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 MyBatis、Spring MVC、Java、MySQL、Redis、单体架构。熟悉 Tomcat 者优先。典型场景为高并发交易与业务中台。 需参与低代码与智能化研发工具建设。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,1,社会招聘,后端开发,智联招聘,重庆,重庆两江新区,2020-09-07,2020-10-29,2020,2020,智联招聘
后端开发,青桐科技,Java 开发工程师,南京,南京雨花台区,10,18,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Redis、MyBatis、Spring MVC、Tomcat、MySQL、单体架构。熟悉 Java 者优先。典型场景为高并发交易与业务中台。 需负责核心链路的压测与容量规划。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,1,校园招聘,后端开发,智联招聘,南京,南京软件谷,2020-04-25,2020-06-04,2020,2020,智联招聘
后端开发,磐石软件,高级Java 开发工程师,上海,上海徐汇区,15,24,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Spring MVC、Java、MySQL、单体架构、Redis、Tomcat。熟悉 MyBatis 者优先。典型场景为高并发交易与业务中台。 需参与新一代产品从 0 到 1 研发。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,4,社会招聘,后端开发,BOSS直聘,上海,上海漕河泾,2020-07-03,2020-08-19,2020,2020,BOSS直聘
后端开发,慧联科技,高级Java 开发工程师,杭州,杭州西湖区,15,24,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 MySQL、Java、Redis、单体架构、Spring MVC、MyBatis。熟悉 Tomcat 者优先。典型场景为高并发交易与业务中台。 需参与多团队协同的复杂项目。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,2,实习,后端开发,猎聘,杭州,杭州未来科技城,2020-07-09,2020-08-22,2020,2020,猎聘
后端开发,峰云数据,中级Java 开发工程师,深圳,深圳福田区,12,21,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Java、单体架构、Tomcat、Spring MVC、Redis、MyBatis。熟悉 MySQL 者优先。典型场景为高并发交易与业务中台。 需负责重点客户项目交付。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,1,社会招聘,后端开发,企业官网,深圳,深圳华强北,2020-04-06,2020-05-20,2020,2020,企业官网
后端开发,链云科技,Java 开发工程师,杭州,杭州余杭区,10,18,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Java、单体架构、MyBatis、Redis、MySQL、Tomcat。熟悉 Spring MVC 者优先。典型场景为高并发交易与业务中台。 需参与技术体系升级与重构。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,3,社会招聘,后端开发,智联招聘,杭州,杭州梦想小镇,2020-10-23,2020-12-02,2020,2020,智联招聘
后端开发,蜂巢智能,Java 开发工程师,厦门,厦门思明区,10,18,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 单体架构、Tomcat、Java、Spring MVC、MyBatis、MySQL。熟悉 Redis 者优先。典型场景为高并发交易与业务中台。 需参与新一代产品从 0 到 1 研发。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,1,社会招聘,后端开发,拉勾网,厦门,厦门软件园,2020-10-14,2020-12-11,2020,2020,拉勾网
后端开发,智源研究院,高级Java 开发工程师,深圳,深圳福田区,15,24,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Java、Spring MVC、MyBatis、Tomcat、Redis、单体架构。熟悉 MySQL 者优先。典型场景为高并发交易与业务中台。 需负责多云环境下的架构治理。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,1,社会招聘,后端开发,拉勾网,深圳,深圳华强北,2020-07-20,2020-08-21,2020,2020,拉勾网
后端开发,磐石软件,高级Java 开发工程师,杭州,杭州余杭区,15,24,负责企业级后端服务与核心业务系统的设计、开发与优化，参与高并发网关、交易链路与数据一致性治理。要求掌握 Redis、Tomcat、MyBatis、Java、单体架构、Spring MVC。熟悉 MySQL 者优先。典型场景为高并发交易与业务中台。 需参与跨部门数据治理专项。 候选人需具备良好的协作沟通能力，参与核心业务场景交付，并对关键指标进行量化复盘。,本科及以上,3年以上,3,实习,后端开发,拉勾网,杭州,杭州梦想小镇,2020-06-04,2020-07-13,2020,2020,拉勾网
