人工智能关键词,企业名称,招聘岗位,工作城市,工作区域,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘人数,招聘类别,初级分类,来源平台,公司地点,工作地点,招聘发布日期,招聘结束日期,招聘发布年份,招聘结束年份,来源
大模型应用,星河科技,AI Agent 工程师,北京,北京高新区,12,22,负责企业多智能体协作平台与智能业务流程开发，设计 Agent 工作流、工具调用、记忆和评测体系。要求掌握 Python、AI Agent、LangChain、LangGraph、Prompt Engineering、大模型API调用，熟悉 MCP、RAG、向量数据库、Docker 者优先。典型场景为智能客服和企业流程自动化。 候选人需具备良好的协作沟通能力，参与第1类业务场景交付，并对核心指标进行量化复盘。,本科及以上,1年以上,1,社会招聘,大模型应用,BOSS直聘,北京,北京,2026-07-30,2026-09-28,2026,2026,BOSS直聘
大模型应用,云启智能,中级AI Agent 工程师,上海,上海高新区,14,25,负责企业多智能体协作平台与智能业务流程开发，设计 Agent 工作流、工具调用、记忆和评测体系。要求掌握 Python、AI Agent、LangChain、LangGraph、Prompt Engineering、大模型API调用，熟悉 MCP、RAG、向量数据库、Docker 者优先。典型场景为智能客服和企业流程自动化。 候选人需具备良好的协作沟通能力，参与第2类业务场景交付，并对核心指标进行量化复盘。,本科及以上,2年以上,2,社会招聘,大模型应用,企业官网,上海,上海,2026-07-19,2026-09-17,2026,2026,企业官网
大模型应用,数澜未来,高级AI Agent 工程师,深圳,深圳高新区,16,28,负责企业多智能体协作平台与智能业务流程开发，设计 Agent 工作流、工具调用、记忆和评测体系。要求掌握 Python、AI Agent、LangChain、LangGraph、Prompt Engineering、大模型API调用，熟悉 MCP、RAG、向量数据库、Docker 者优先。典型场景为智能客服和企业流程自动化。 候选人需具备良好的协作沟通能力，参与第3类业务场景交付，并对核心指标进行量化复盘。,本科及以上,3年以上,3,社会招聘,大模型应用,智联招聘,深圳,深圳,2026-07-08,2026-09-06,2026,2026,智联招聘
大模型应用,海岳信息,AI Agent 工程师,杭州,杭州高新区,18,31,负责企业多智能体协作平台与智能业务流程开发，设计 Agent 工作流、工具调用、记忆和评测体系。要求掌握 Python、AI Agent、LangChain、LangGraph、Prompt Engineering、大模型API调用，熟悉 MCP、RAG、向量数据库、Docker 者优先。典型场景为智能客服和企业流程自动化。 候选人需具备良好的协作沟通能力，参与第4类业务场景交付，并对核心指标进行量化复盘。,本科及以上,4年以上,1,社会招聘,大模型应用,前程无忧,杭州,杭州,2026-06-27,2026-08-26,2026,2026,前程无忧
大模型应用,智联工业,中级AI Agent 工程师,武汉,武汉高新区,20,34,负责企业多智能体协作平台与智能业务流程开发，设计 Agent 工作流、工具调用、记忆和评测体系。要求掌握 Python、AI Agent、LangChain、LangGraph、Prompt Engineering、大模型API调用，熟悉 MCP、RAG、向量数据库、Docker 者优先。典型场景为智能客服和企业流程自动化。 候选人需具备良好的协作沟通能力，参与第5类业务场景交付，并对核心指标进行量化复盘。,本科及以上,5年以上,2,社会招聘,大模型应用,高校就业网,武汉,武汉,2026-06-16,2026-08-15,2026,2026,高校就业网
大模型应用,长江数科,高级AI Agent 工程师,南京,南京高新区,12,22,负责企业多智能体协作平台与智能业务流程开发，设计 Agent 工作流、工具调用、记忆和评测体系。要求掌握 Python、AI Agent、LangChain、LangGraph、Prompt Engineering、大模型API调用，熟悉 MCP、RAG、向量数据库、Docker 者优先。典型场景为智能客服和企业流程自动化。 候选人需具备良好的协作沟通能力，参与第6类业务场景交付，并对核心指标进行量化复盘。,本科及以上,1年以上,3,社会招聘,大模型应用,BOSS直聘,南京,南京,2026-06-05,2026-08-04,2026,2026,BOSS直聘
大模型应用,北辰软件,AI Agent 工程师,成都,成都高新区,14,25,负责企业多智能体协作平台与智能业务流程开发，设计 Agent 工作流、工具调用、记忆和评测体系。要求掌握 Python、AI Agent、LangChain、LangGraph、Prompt Engineering、大模型API调用，熟悉 MCP、RAG、向量数据库、Docker 者优先。典型场景为智能客服和企业流程自动化。 候选人需具备良好的协作沟通能力，参与第7类业务场景交付，并对核心指标进行量化复盘。,本科及以上,2年以上,1,社会招聘,大模型应用,企业官网,成都,成都,2026-05-25,2026-07-24,2026,2026,企业官网
大模型应用,矩阵创新,中级AI Agent 工程师,广州,广州高新区,16,28,负责企业多智能体协作平台与智能业务流程开发，设计 Agent 工作流、工具调用、记忆和评测体系。要求掌握 Python、AI Agent、LangChain、LangGraph、Prompt Engineering、大模型API调用，熟悉 MCP、RAG、向量数据库、Docker 者优先。典型场景为智能客服和企业流程自动化。 候选人需具备良好的协作沟通能力，参与第8类业务场景交付，并对核心指标进行量化复盘。,本科及以上,3年以上,2,社会招聘,大模型应用,智联招聘,广州,广州,2026-05-14,2026-07-13,2026,2026,智联招聘
大模型应用,远景智云,高级AI Agent 工程师,苏州,苏州高新区,18,31,负责企业多智能体协作平台与智能业务流程开发，设计 Agent 工作流、工具调用、记忆和评测体系。要求掌握 Python、AI Agent、LangChain、LangGraph、Prompt Engineering、大模型API调用，熟悉 MCP、RAG、向量数据库、Docker 者优先。典型场景为智能客服和企业流程自动化。 候选人需具备良好的协作沟通能力，参与第9类业务场景交付，并对核心指标进行量化复盘。,本科及以上,4年以上,3,社会招聘,大模型应用,前程无忧,苏州,苏州,2026-05-03,2026-07-02,2026,2026,前程无忧
大模型应用,科创引擎,AI Agent 工程师,合肥,合肥高新区,20,34,负责企业多智能体协作平台与智能业务流程开发，设计 Agent 工作流、工具调用、记忆和评测体系。要求掌握 Python、AI Agent、LangChain、LangGraph、Prompt Engineering、大模型API调用，熟悉 MCP、RAG、向量数据库、Docker 者优先。典型场景为智能客服和企业流程自动化。 候选人需具备良好的协作沟通能力，参与第10类业务场景交付，并对核心指标进行量化复盘。,本科及以上,5年以上,1,社会招聘,大模型应用,高校就业网,合肥,合肥,2026-04-22,2026-06-21,2026,2026,高校就业网
大模型应用,星河科技,RAG 应用工程师,北京,北京高新区,12,22,负责企业知识库智能问答系统建设，完成文档解析、向量检索、重排、生成与效果评测。要求 Python、RAG、向量数据库、大模型API调用、Prompt Engineering，熟悉 LangChain、知识图谱、Docker 者优先。 候选人需具备良好的协作沟通能力，参与第1类业务场景交付，并对核心指标进行量化复盘。,本科及以上,1年以上,1,社会招聘,大模型应用,BOSS直聘,北京,北京,2026-07-23,2026-09-21,2026,2026,BOSS直聘
大模型应用,云启智能,中级RAG 应用工程师,上海,上海高新区,14,25,负责企业知识库智能问答系统建设，完成文档解析、向量检索、重排、生成与效果评测。要求 Python、RAG、向量数据库、大模型API调用、Prompt Engineering，熟悉 LangChain、知识图谱、Docker 者优先。 候选人需具备良好的协作沟通能力，参与第2类业务场景交付，并对核心指标进行量化复盘。,本科及以上,2年以上,2,社会招聘,大模型应用,企业官网,上海,上海,2026-07-12,2026-09-10,2026,2026,企业官网
大模型应用,数澜未来,高级RAG 应用工程师,深圳,深圳高新区,16,28,负责企业知识库智能问答系统建设，完成文档解析、向量检索、重排、生成与效果评测。要求 Python、RAG、向量数据库、大模型API调用、Prompt Engineering，熟悉 LangChain、知识图谱、Docker 者优先。 候选人需具备良好的协作沟通能力，参与第3类业务场景交付，并对核心指标进行量化复盘。,本科及以上,3年以上,3,社会招聘,大模型应用,智联招聘,深圳,深圳,2026-07-01,2026-08-30,2026,2026,智联招聘
